year,city,country,avg_temp
1825,Ho Chi Minh City,Vietnam,27.11
1826,Ho Chi Minh City,Vietnam,
1827,Ho Chi Minh City,Vietnam,
1828,Ho Chi Minh City,Vietnam,
1829,Ho Chi Minh City,Vietnam,
1830,Ho Chi Minh City,Vietnam,
1831,Ho Chi Minh City,Vietnam,
1832,Ho Chi Minh City,Vietnam,
1833,Ho Chi Minh City,Vietnam,
1834,Ho Chi Minh City,Vietnam,
1835,Ho Chi Minh City,Vietnam,
1836,Ho Chi Minh City,Vietnam,
1837,Ho Chi Minh City,Vietnam,
1838,Ho Chi Minh City,Vietnam,
1839,Ho Chi Minh City,Vietnam,26.69
1840,Ho Chi Minh City,Vietnam,26.63
1841,Ho Chi Minh City,Vietnam,27.02
1842,Ho Chi Minh City,Vietnam,26.87
1843,Ho Chi Minh City,Vietnam,26.94
1844,Ho Chi Minh City,Vietnam,26.41
1845,Ho Chi Minh City,Vietnam,26.12
1846,Ho Chi Minh City,Vietnam,26.94
1847,Ho Chi Minh City,Vietnam,26.41
1848,Ho Chi Minh City,Vietnam,
1849,Ho Chi Minh City,Vietnam,
1850,Ho Chi Minh City,Vietnam,26.65
1851,Ho Chi Minh City,Vietnam,26.82
1852,Ho Chi Minh City,Vietnam,26.70
1853,Ho Chi Minh City,Vietnam,26.87
1854,Ho Chi Minh City,Vietnam,26.89
1855,Ho Chi Minh City,Vietnam,26.76
1856,Ho Chi Minh City,Vietnam,26.53
1857,Ho Chi Minh City,Vietnam,26.51
1858,Ho Chi Minh City,Vietnam,26.83
1859,Ho Chi Minh City,Vietnam,26.88
1860,Ho Chi Minh City,Vietnam,26.69
1861,Ho Chi Minh City,Vietnam,26.58
1862,Ho Chi Minh City,Vietnam,24.85
1863,Ho Chi Minh City,Vietnam,26.67
1864,Ho Chi Minh City,Vietnam,26.52
1865,Ho Chi Minh City,Vietnam,26.89
1866,Ho Chi Minh City,Vietnam,26.84
1867,Ho Chi Minh City,Vietnam,26.86
1868,Ho Chi Minh City,Vietnam,27.06
1869,Ho Chi Minh City,Vietnam,26.64
1870,Ho Chi Minh City,Vietnam,26.51
1871,Ho Chi Minh City,Vietnam,26.54
1872,Ho Chi Minh City,Vietnam,26.87
1873,Ho Chi Minh City,Vietnam,26.95
1874,Ho Chi Minh City,Vietnam,27.03
1875,Ho Chi Minh City,Vietnam,26.52
1876,Ho Chi Minh City,Vietnam,26.40
1877,Ho Chi Minh City,Vietnam,27.15
